name,,sim_team,y2020,y2021,y2022,y2023,y2024,y2025,ir,9_21_20
Jarrett Stidham,,ARI,"4,000,000.00","4,000,000.00","4,000,000.00",,,,,
Jordan Love,,ARI,"2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00",,,,
Alex Smith,,ARI,"1,000,000.00","1,000,000.00",,,,,,
Rex Burkhead,,ARI,"3,000,000.00",,,,,,,
Jerick McKinnon,,ARI,"1,000,000.00","1,000,000.00","1,000,000.00",,,,,
Antonio Gibson,,ARI,"4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00",,,,
Michael Gallup,,ARI,"9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00",,,
Julian Edelman,,ARI,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,
Danny Amendola,,ARI,"2,000,000.00",,,,,,,
Equanimeous St. Brown,,ARI,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,,,
Trent Taylor,,ARI,"1,000,000.00",,,,,,,
Isaiah Hodgins,,ARI,"500,000.00","500,000.00","500,000.00",,,,IR,
Malcolm Perry,,ARI,"500,000.00","500,000.00","500,000.00",,,,,
Chris Hogan,,ARI,"900,000.00",,,,,,,
Eric Ebron,,ARI,"4,500,000.00","4,500,000.00",,,,,,
Jace Sternberger,,ARI,"3,000,000.00","3,000,000.00","3,000,000.00",,,,,
Logan Thomas,,ARI,"500,000.00","500,000.00","500,000.00",,,,,
Wil Lutz,,ARI,"3,500,000.00","3,500,000.00","3,500,000.00","3,500,000.00","3,500,000.00",,,
D.J. Reader,,ARI,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,
Michael Pierce,,ARI,0.00,"1,000,000.00","1,000,000.00",,,,,
Carlos Watkins,,ARI,"500,000.00",,,,,,,
Allen Bailey,,ARI,"500,000.00",,,,,,,
Blake Martinez,,ARI,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,
Roquan Smith,,ARI,"8,000,000.00","3,000,000.00",,,,,,
Avery Williamson,,ARI,"3,000,000.00","3,000,000.00","3,000,000.00",,,,IR,
Kyler Fackrell,,ARI,"1,000,000.00",,,,,,,
Davion Taylor,,ARI,"1,000,000.00","1,000,000.00","1,000,000.00",,,,,
Mykal Walker,,ARI,"500,000.00","500,000.00","500,000.00",,,,,
Germaine Pratt,,ARI,"7,000,000.00","7,000,000.00","7,000,000.00",,,,,
Kamu Grugier-Hill,,ARI,"500,000.00","500,000.00",,,,,,
Devante Downs,,ARI,"500,000.00","500,000.00",,,,,,
Kareem Jackson,,ARI,"3,000,000.00","3,000,000.00",,,,,,
