Rk,Player,,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A
1,Russell Wilson,WilsRu00,QB,31.331,10/25/20,NFL,SEA,@,ARI,L 34-37,6,7,Sun,33,50,66,388,3,3,84.4,2,16,7.76,6.26
2,Ben Roethlisberger,RoetBe00,QB,38.237,10/25/20,NFL,PIT,@,TEN,W 27-24,6,7,Sun,32,49,65.31,268,2,3,67.4,0,0,5.47,3.53
3,Kyler Murray,MurrKy00,QB,23.079,10/25/20,NFL,ARI,,SEA,W 37-34,7,7,Sun,34,48,70.83,360,3,1,104.5,0,0,7.5,7.81
4,Joe Burrow,BurrJo01,QB,23.32,10/25/20,NFL,CIN,,CLE,L 34-37,7,7,Sun,35,47,74.47,406,3,1,112.5,4,35,8.64,8.96
5,Tom Brady,BradTo00,QB,43.083,10/25/20,NFL,TAM,@,LVR,W 45-20,7,7,Sun,33,45,73.33,369,4,0,127,0,0,8.2,9.98
6,Justin Herbert,HerbJu00,QB,22.229,10/25/20,NFL,LAC,,JAX,W 39-29,6,7,Sun,27,43,62.79,347,3,0,111.3,1,2,8.07,9.47
7,Carson Wentz,WentCa00,QB,27.297,10/22/20,NFL,PHI,,NYG,W 22-21,7,7,Thu,25,43,58.14,359,2,1,91.1,3,13,8.35,8.23
8,Josh Allen,AlleJo02,QB,24.157,10/25/20,NFL,BUF,@,NYJ,W 18-10,7,7,Sun,30,43,69.77,307,0,0,90,2,11,7.14,7.14
9,Matt Ryan,RyanMa00,QB,35.161,10/25/20,NFL,ATL,,DET,L 22-23,7,7,Sun,31,42,73.81,338,1,0,105.1,2,16,8.05,8.52
10,Nick Foles,FoleNi00,QB,31.28,10/26/20,NFL,CHI,@,LAR,L 10-24,7,7,Mon,28,40,70,261,0,2,66.8,4,31,6.53,4.28
11,Drew Lock,LockDr00,QB,23.35,10/25/20,NFL,DEN,,KAN,L 16-43,6,7,Sun,24,40,60,254,0,2,57.7,3,20,6.35,4.1
12,Deshaun Watson,WatsDe00,QB,25.041,10/25/20,NFL,HOU,,GNB,L 20-35,7,7,Sun,29,39,74.36,309,2,0,114.2,3,23,7.92,8.95
13,Drew Brees,BreeDr00,QB,41.284,10/25/20,NFL,NOR,,CAR,W 27-24,6,7,Sun,29,36,80.56,287,2,0,118.4,1,10,7.97,9.08
14,Matthew Stafford,StafMa00,QB,32.261,10/25/20,NFL,DET,@,ATL,W 23-22,6,7,Sun,25,36,69.44,340,1,0,108.6,2,18,9.44,10
15,Derek Carr,CarrDe02,QB,29.211,10/25/20,NFL,LVR,,TAM,L 20-45,6,7,Sun,24,36,66.67,284,2,1,97.5,3,13,7.89,7.75
16,Aaron Rodgers,RodgAa00,QB,36.328,10/25/20,NFL,GNB,@,HOU,W 35-20,6,7,Sun,23,34,67.65,283,4,0,132.4,0,0,8.32,10.68
17,Jared Goff,GoffJa00,QB,26.012,10/26/20,NFL,LAR,,CHI,W 24-10,7,7,Mon,23,33,69.7,220,2,0,108.1,1,9,6.67,7.88
18,Ryan Tannehill,TannRy00,QB,32.09,10/25/20,NFL,TEN,,PIT,L 24-27,6,7,Sun,18,30,60,220,2,0,104.9,2,10,7.33,8.67
19,Daniel Jones,JoneDa05,QB,23.148,10/22/20,NFL,NYG,@,PHI,L 21-22,7,7,Thu,20,30,66.67,187,2,1,91.9,3,22,6.23,6.07
20,Baker Mayfield,MayfBa00,QB,25.194,10/25/20,NFL,CLE,@,CIN,W 37-34,7,7,Sun,22,28,78.57,297,5,1,135.6,0,0,10.61,12.57
21,Teddy Bridgewater,BridTe00,QB,27.35,10/25/20,NFL,CAR,@,NOR,L 24-27,7,7,Sun,23,28,82.14,254,2,0,128.3,1,8,9.07,10.5
22,Gardner Minshew II,MinsGa00,QB,24.162,10/25/20,NFL,JAX,@,LAC,L 29-39,7,7,Sun,14,27,51.85,173,2,0,96.7,5,19,6.41,7.89
23,Kyle Allen,AlleKy00,QB,24.231,10/25/20,NFL,WAS,,DAL,W 25-3,7,7,Sun,15,25,60,194,2,0,111.1,2,5,7.76,9.36
24,Jimmy Garoppolo,GaroJi00,QB,28.358,10/25/20,NFL,SFO,@,NWE,W 33-6,7,7,Sun,20,25,80,277,0,2,79.5,1,7,11.08,7.48
25,Patrick Mahomes,MahoPa00,QB,25.038,10/25/20,NFL,KAN,@,DEN,W 43-16,7,7,Sun,15,23,65.22,200,1,0,107.2,3,25,8.7,9.57
26,Sam Darnold,DarnSa00,QB,23.142,10/25/20,NFL,NYJ,,BUF,L 10-18,7,7,Sun,12,23,52.17,120,0,2,31.1,6,29,5.22,1.3
27,Andy Dalton,DaltAn00,QB,32.362,10/25/20,NFL,DAL,@,WAS,L 3-25,7,7,Sun,9,19,47.37,75,0,1,36.1,3,30,3.95,1.58
28,Cam Newton,NewtCa00,QB,31.167,10/25/20,NFL,NWE,,SFO,L 6-33,6,7,Sun,9,15,60,98,0,3,39.7,1,8,6.53,-2.47
29,Jarrett Stidham,StidJa00,QB,24.078,10/25/20,NFL,NWE,,SFO,L 6-33,6,7,Sun,6,10,60,64,0,1,39.2,1,7,6.4,1.9
30,Ben DiNucci,DiNuBe00,QB,23.336,10/25/20,NFL,DAL,@,WAS,L 3-25,7,7,Sun,2,3,66.67,39,0,0,109.7,3,25,13,13
31,Chad Henne,HennCh01,QB,35.115,10/25/20,NFL,KAN,@,DEN,W 43-16,7,7,Sun,2,2,100,13,0,0,93.7,1,3,6.5,6.5
32,Tyler Boyd,BoydTy00,WR,25.345,10/25/20,NFL,CIN,,CLE,L 34-37,7,7,Sun,1,1,100,16,0,0,118.7,0,0,16,16
33,Jarvis Landry,LandJa00,WR,27.332,10/25/20,NFL,CLE,@,CIN,W 37-34,7,7,Sun,1,1,100,19,0,0,118.7,0,0,19,19
