Rk,Player,,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD
1,Clyde Edwards-Helaire,EdwaCl00,RB,21.191,10/19/20,NFL,KAN,@,BUF,W 26-17,6,6,Mon,26,161,6.19,0
2,Ronald Jones II,JoneRo01,RB,23.076,10/18/20,NFL,TAM,,GNB,W 38-10,6,6,Sun,23,113,4.91,2
3,Phillip Lindsay,LindPh00,RB,26.086,10/18/20,NFL,DEN,@,NWE,W 18-12,5,6,Sun,23,101,4.39,0
4,Derrick Henry,HenrDe00,RB,26.288,10/18/20,NFL,TEN,,HOU,W 42-36,5,6,Sun,22,212,9.64,2
5,James Conner,ConnJa00,RB,25.166,10/18/20,NFL,PIT,,CLE,W 38-7,5,6,Sun,20,101,5.05,1
6,Kenyan Drake,DrakKe00,RB,26.267,10/19/20,NFL,ARI,@,DAL,W 38-10,6,6,Mon,20,164,8.2,2
7,Todd Gurley,GurlTo01,RB,26.076,10/18/20,NFL,ATL,@,MIN,W 40-23,6,6,Sun,20,47,2.35,0
8,David Johnson,JohnDa08,RB,28.307,10/18/20,NFL,HOU,@,TEN,L 36-42,6,6,Sun,19,57,3,1
9,David Montgomery,MontDa01,RB,23.133,10/18/20,NFL,CHI,@,CAR,W 23-16,6,6,Sun,19,58,3.05,0
10,Mike Davis,DaviMi01,RB,27.242,10/18/20,NFL,CAR,,CHI,L 16-23,6,6,Sun,18,52,2.89,1
11,Devonta Freeman,FreeDe00,RB,28.217,10/18/20,NFL,NYG,,WAS,W 20-19,6,6,Sun,18,61,3.39,0
12,Myles Gaskin,GaskMy00,RB,23.246,10/18/20,NFL,MIA,,NYJ,W 24-0,6,6,Sun,18,91,5.06,0
13,Joe Mixon,MixoJo00,HB,24.086,10/18/20,NFL,CIN,@,IND,L 27-31,6,6,Sun,18,54,3,1
14,Raheem Mostert,MostRa00,RB,28.192,10/18/20,NFL,SFO,,LAR,W 24-16,6,6,Sun,17,65,3.82,0
15,Adrian Peterson,PeteAd01,RB,35.211,10/18/20,NFL,DET,@,JAX,W 34-16,5,6,Sun,15,40,2.67,1
16,Gus Edwards,EdwaGu00,RB,25.188,10/18/20,NFL,BAL,@,PHI,W 30-28,6,6,Sun,14,26,1.86,1
17,Darrell Henderson,HendDa00,RB,23.06,10/18/20,NFL,LAR,@,SFO,L 16-24,6,6,Sun,14,88,6.29,0
18,D'Andre Swift,SwifDA00,RB,21.278,10/18/20,NFL,DET,@,JAX,W 34-16,5,6,Sun,14,116,8.29,2
19,Kareem Hunt,HuntKa00,RB,25.073,10/18/20,NFL,CLE,@,PIT,L 7-38,6,6,Sun,13,40,3.08,0
20,Ezekiel Elliott,ElliEz00,RB,25.089,10/19/20,NFL,DAL,,ARI,L 10-38,6,6,Mon,12,49,4.08,0
21,James Robinson,RobiJa00,RB,22.07,10/18/20,NFL,JAX,,DET,L 16-34,6,6,Sun,12,29,2.42,0
22,Jonathan Taylor,TaylJo02,RB,21.273,10/18/20,NFL,IND,,CIN,W 31-27,6,6,Sun,12,60,5,0
23,Frank Gore,GoreFr00,RB,37.157,10/18/20,NFL,NYJ,@,MIA,L 0-24,6,6,Sun,11,46,4.18,0
24,Brian Hill,HillBr02,RB,24.344,10/18/20,NFL,ATL,@,MIN,W 40-23,6,6,Sun,10,28,2.8,0
25,Aaron Jones,JoneAa00,RB,25.321,10/18/20,NFL,GNB,@,TAM,L 10-38,5,6,Sun,10,15,1.5,1
26,Patrick Mahomes,MahoPa00,QB,25.032,10/19/20,NFL,KAN,@,BUF,W 26-17,6,6,Mon,10,36,3.6,0
27,Alexander Mattison,MattAl01,RB,22.121,10/18/20,NFL,MIN,,ATL,L 23-40,6,6,Sun,10,26,2.6,0
28,Kyler Murray,MurrKy00,QB,23.073,10/19/20,NFL,ARI,@,DAL,W 38-10,6,6,Mon,10,74,7.4,1
29,Cam Newton,NewtCa00,QB,31.16,10/18/20,NFL,NWE,,DEN,L 12-18,5,6,Sun,10,76,7.6,1
30,Tony Pollard,PollTo00,RB,23.172,10/19/20,NFL,DAL,,ARI,L 10-38,6,6,Mon,10,31,3.1,0
31,Devin Singletary,SingDe00,RB,23.046,10/19/20,NFL,BUF,,KAN,L 17-26,6,6,Mon,10,32,3.2,0
32,J.K. Dobbins,DobbJK00,RB,21.306,10/18/20,NFL,BAL,@,PHI,W 30-28,6,6,Sun,9,28,3.11,0
33,Antonio Gibson,GibsAn00,RB,22.117,10/18/20,NFL,WAS,@,NYG,L 19-20,6,6,Sun,9,30,3.33,0
34,Jamycal Hasty,HastJa02,RB,24.036,10/18/20,NFL,SFO,,LAR,W 24-16,6,6,Sun,9,37,4.11,0
35,Lamar Jackson,JackLa00,QB,23.285,10/18/20,NFL,BAL,@,PHI,W 30-28,6,6,Sun,9,108,12,1
36,Miles Sanders,SandMi01,RB,23.17,10/18/20,NFL,PHI,,BAL,L 28-30,6,6,Sun,9,118,13.11,0
37,Josh Allen,AlleJo02,QB,24.151,10/19/20,NFL,BUF,,KAN,L 17-26,6,6,Mon,8,42,5.25,0
38,Giovani Bernard,BernGi00,HB,28.331,10/18/20,NFL,CIN,@,IND,L 27-31,6,6,Sun,8,15,1.88,1
39,Teddy Bridgewater,BridTe00,QB,27.343,10/18/20,NFL,CAR,,CHI,L 16-23,6,6,Sun,8,48,6,0
40,Royce Freeman,FreeRo00,RB,24.237,10/18/20,NFL,DEN,@,NWE,W 18-12,5,6,Sun,8,26,3.25,0
41,J.D. McKissic,McKiJ.00,RB,27.064,10/18/20,NFL,WAS,@,NYG,L 19-20,6,6,Sun,8,41,5.13,0
42,Daniel Jones,JoneDa05,QB,23.144,10/18/20,NFL,NYG,,WAS,W 20-19,6,6,Sun,7,74,10.57,0
43,La'Mical Perine,PeriLa00,RB,22.262,10/18/20,NFL,NYJ,@,MIA,L 0-24,6,6,Sun,7,27,3.86,0
44,Matt Breida,BreiMa00,RB,25.233,10/18/20,NFL,MIA,,NYJ,W 24-0,6,6,Sun,6,15,2.5,0
45,Damien Harris,HarrDa06,RB,23.25,10/18/20,NFL,NWE,,DEN,L 12-18,5,6,Sun,6,19,3.17,0
46,Jerick McKinnon,McKiJe00,RB,28.168,10/18/20,NFL,SFO,,LAR,W 24-16,6,6,Sun,6,18,3,0
47,Benny Snell Jr.,SnelBe00,RB,22.234,10/18/20,NFL,PIT,,CLE,W 38-7,5,6,Sun,6,17,2.83,1
48,Darrel Williams,WillDa10,RB,25.187,10/19/20,NFL,KAN,@,BUF,W 26-17,6,6,Mon,6,26,4.33,1
49,Rex Burkhead,BurkRe00,RB,30.108,10/18/20,NFL,NWE,,DEN,L 12-18,5,6,Sun,5,14,2.8,0
