"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned"
"Antoine Bethea","(N/A)","S","1","W (Wed)","Bye","163.5","10.22","","75%"
"Eric Weddle","(N/A)","S","2","W (Wed)","Bye","145","9.06","","50%"
"Tavon Wilson","(N/A)","S","3","W (Wed)","Bye","144.25","9.02","","75%"
"Mark Barron","(N/A)","LB","4","W (Wed)","Bye","126","8.4","","75%"
"Mychal Kendricks","(N/A)","LB","5","W (Wed)","Bye","114.75","8.2","","50%"
"Rashaan Melvin","JAX","CB","6","W (Wed)","Bye","112.5","8.65","null","25%"
"Case Keenum","CLE","QB","7","FA","Bye","111.48","11.15","null","29%"
"Austin Seibert","CLE","K","8","FA","Bye","111","6.94","null","33%"
"Jason Witten","LV","TE","9","FA","Bye","109.4","6.84","null","47%"
"Isaiah Oliver","ATL","CB","10","W (Wed)","Bye","108.25","6.77","null","50%"
"Jason Sanders","MIA","K","11","FA","Bye","108","6.75","null","50%"
"LeSean McCoy","(N/A)","RB","12","FA","Bye","106.6","8.2","","29%"
"Ross Cockrell","(N/A)","CB","13","W (Wed)","Bye","106.5","7.61","","25%"
"Dustin Hopkins","WAS","K","14","FA","Bye","106","6.62","null","17%"
"Stephen Hauschka","BUF","K","15","FA","Bye","105","6.56","null","33%"
"Brett Maher","(N/A)","K","16","FA","Bye","104","8","","17%"
"Montae Nicholson","(N/A)","S","17","W (Wed)","Bye","101.75","7.83","","25%"
"Eddy Pineiro","CHI","K","18","FA","Bye","101","6.31","null","17%"
"Johnathan Joseph","(N/A)","CB","19","W (Wed)","Bye","100.75","7.2","","25%"
"Daryl Worley","(N/A)","CB","20","W (Wed)","Bye","100.25","6.68","","25%"
"Gareon Conley","HOU","CB","21","W (Wed)","Bye","99.5","7.11","null","25%"
"Vernon Hargreaves III","HOU","CB","22","W (Wed)","Bye","99","6.6","null","50%"
"Darryl Roberts","DET","CB","23","W (Wed)","Bye","98.25","7.56","null","25%"
"Prince Amukamara","(N/A)","CB","24","W (Wed)","Bye","97.75","6.52","","0%"
"Tashaun Gipson Sr.","HOU","S","25","W (Wed)","Bye","97.25","6.95","null","0%"
"Xavier Rhodes","IND","CB","26","W (Wed)","Bye","97","6.47","null","25%"
"Nigel Bradham","(N/A)","LB","27","W (Wed)","Bye","96.5","8.04","","75%"
"Jeff Heath","LV","S","28","W (Wed)","Bye","96.25","7.4","null","0%"
"Brian Poole","NYJ","CB","29","W (Wed)","Bye","96","6.86","null","50%"
"Bashaud Breeland","(N/A)","CB","30","W (Wed)","Bye","95.5","5.97","","0%"
"Daniel Carlson","LV","K","31","FA","Bye","95","5.94","null","33%"
"K'Waun Williams","SF","CB","32","W (Wed)","Bye","93.5","6.23","null","0%"
"Joe Flacco","(N/A)","QB","33","FA","Bye","92.88","11.61","","24%"
"Chris Harris Jr.","LAC","CB","34","W (Wed)","Bye","92.75","5.8","null","50%"
"Jomal Wiltz","MIA","CB","35","W (Wed)","Bye","92","6.57","null","0%"
"Ryan Anderson","WAS","LB","36","W (Wed)","Bye","91.25","5.7","null","25%"
"Daniel Sorensen","KC","S","37","W (Wed)","Bye","90.25","5.64","null","25%"
"Chase McLaughlin","IND","K","38","FA","Bye","90","8.18","null","33%"
"Donte Jackson","CAR","CB","39","W (Wed)","Bye","90","6.92","null","25%"
"Sam Ficken","NYJ","K","40","FA","Bye","89","5.93","null","33%"
"T.J. Carrie","IND","CB","41","W (Wed)","Bye","88.75","5.55","null","0%"
"Alex Erickson","CIN","WR","42","FA","Bye","88.54","5.53","null","18%"
"Frank Gore","(N/A)","RB","43","FA","Bye","88.4","5.52","","18%"
"Danny Shelton","DET","DT","44","W (Wed)","Bye","87.75","5.48","null","25%"
"Tramon Williams","(N/A)","CB","45","W (Wed)","Bye","87.5","5.47","","0%"
"Eli Apple","NO","CB","46","W (Wed)","Bye","85.75","5.72","null","25%"
"Troy Hill","LAR","CB","47","W (Wed)","Bye","85.5","6.11","null","0%"
"Demarcus Robinson","KC","WR","48","FA","Bye","84.9","5.31","null","47%"
"Donald Payne","(N/A)","LB","49","W (Wed)","Bye","84.75","9.42","","25%"
"Joe Walker","SF","LB","50","W (Wed)","Bye","84.5","5.28","null","0%"
"Terrell Suggs","(N/A)","DE","51","W (Wed)","Bye","84.12","5.61","","0%"
"John Simon","NE","DE","52","W (Wed)","Bye","83.75","5.23","null","25%"
"Ronald Darby","WAS","CB","53","W (Wed)","Bye","82.75","7.52","null","0%"
"Cody Latimer","WAS","WR","54","FA","Bye","82.5","5.5","null","12%"
"Andrew Sendejo","CLE","S","55","W (Wed)","Bye","82.5","5.5","null","0%"
"Brennan Scarlett","HOU","LB","56","W (Wed)","Bye","82.38","5.49","null","0%"
"Clay Matthews","(N/A)","LB","57","W (Wed)","Bye","82.25","6.33","","25%"
"Brandon Carr","(N/A)","CB","58","W (Wed)","Bye","81.75","5.11","","0%"
"Vince Williams","PIT","LB","59","W (Wed)","Bye","81.38","5.81","null","25%"
"Ryan Griffin","NYJ","TE","60","FA","Bye","81","6.23","null","35%"
"Fabian Moreau","WAS","CB","61","W (Wed)","Bye","81","6.75","null","25%"
"Taron Johnson","BUF","CB","62","W (Wed)","Bye","81","6.75","null","0%"
"Willie Snead IV","BAL","WR","63","FA","Bye","80.55","5.03","null","41%"
"Mike Edwards","TB","S","64","W (Wed)","Bye","80.5","5.37","null","25%"
"Nick Williams","DET","DT","65","W (Wed)","Bye","80.5","5.03","null","0%"
"Michael Davis","LAC","CB","66","W (Wed)","Bye","80.25","6.69","null","0%"
"Bruce Irvin","SEA","LB","67","W (Wed)","Bye","79.38","6.11","null","25%"
"Troy Reeder","LAR","LB","68","W (Wed)","Bye","79","4.94","null","50%"
"Buster Skrine","CHI","CB","69","W (Wed)","Bye","79","4.94","null","0%"
"D.J. Hayden","JAX","CB","70","W (Wed)","Bye","78.25","5.22","null","0%"
"Maurice Canady","DAL","CB","71","W (Wed)","Bye","77.75","5.98","null","0%"
"Pharoh Cooper","CAR","WR","72","FA","Bye","77.5","5.96","null","12%"
"Jordan Jenkins","NYJ","LB","73","W (Wed)","Bye","76","5.43","null","25%"
"Taylor Gabriel","(N/A)","WR","74","FA","Bye","75.8","8.42","","18%"
"Ben Niemann","KC","LB","75","W (Wed)","Bye","75.75","4.73","null","25%"
"Josh Norman","BUF","CB","76","W (Wed)","Bye","75.5","6.29","null","25%"
"Tarell Basham","NYJ","LB","77","W (Wed)","Bye","75.5","4.72","null","0%"
"Marcell Harris","SF","S","78","W (Wed)","Bye","75.5","5.81","null","0%"
"Preston Brown","(N/A)","LB","79","W (Wed)","Bye","75.25","7.53","","0%"
"Mario Addison","BUF","DE","80","W (Wed)","Bye","75.12","5.01","null","50%"
"Tramaine Brock","(N/A)","CB","81","W (Wed)","Bye","75","5.36","","0%"
"Tyeler Davison","ATL","DT","82","W (Wed)","Bye","74.75","4.67","null","0%"
"Clayton Geathers","(N/A)","S","83","W (Wed)","Bye","74.5","4.97","","0%"
"Damon Harrison Sr.","(N/A)","DT","84","W (Wed)","Bye","74.25","4.95","","25%"
"Kendall Sheffield","ATL","CB","85","W (Wed)","Bye","74.25","4.64","null","0%"
"Dalvin Tomlinson","NYG","DT","86","W (Wed)","Bye","74.12","4.63","null","25%"
"Jacob Hollister","SEA","TE","87","FA","Bye","73.4","6.67","null","41%"
"Derrick Nnadi","KC","DT","88","W (Wed)","Bye","73","4.56","null","25%"
"Andrew Adams","TB","S","89","W (Wed)","Bye","72.75","5.2","null","0%"
"Jahleel Addae","(N/A)","S","90","W (Wed)","Bye","72.75","4.55","","0%"
"Chris Thompson","(N/A)","RB","91","FA","Bye","72.6","6.6","","35%"
"Michael Thomas","(N/A)","S","92","W (Wed)","Bye","72.25","4.52","","0%"
"P.J. Williams","NO","CB","93","W (Wed)","Bye","72.25","5.16","null","0%"
"Keelan Cole","JAX","WR","94","FA","Bye","72.2","4.51","null","12%"
"Brandon Bolden","NE","RB","95","FA","Bye","72.15","4.81","null","6%"
"Adam Vinatieri","(N/A)","K","96","FA","Bye","72","6","","17%"
"Adam Humphries","TEN","WR","97","FA","Bye","71.9","5.99","null","35%"
"D.J. Reader","CIN","DT","98","W (Wed)","Bye","71.88","4.79","null","50%"
"Jordan Akins","HOU","TE","99","FA","Bye","71.8","4.49","null","29%"
"Malcolm Butler","TEN","CB","100","W (Wed)","Bye","71.5","7.94","null","25%"
"A'Shawn Robinson","LAR","DT","101","W (Wed)","Bye","71.38","5.49","null","50%"
"Cordarrelle Patterson","CHI","WR","102","FA","Bye","71.35","4.46","null","6%"
"Gerald Everett","LAR","TE","103","FA","Bye","71.3","5.48","null","35%"
"Patrick Chung","NE","S","104","W (Wed)","Bye","71.25","5.48","null","0%"
"Geno Atkins","CIN","DT","105","W (Wed)","Bye","71.12","4.45","null","25%"
"Darian Thompson","DAL","S","106","W (Wed)","Bye","71.12","4.74","null","0%"
"Ted Ginn Jr.","(N/A)","WR","107","FA","Bye","70.9","4.43","","6%"
"D.J. Swearinger","NO","S","108","W (Wed)","Bye","70","7.78","null","0%"
"Jason McCourty","NE","CB","109","W (Wed)","Bye","69.5","5.79","null","0%"
"Mackensie Alexander","CIN","CB","110","W (Wed)","Bye","69.12","5.32","null","25%"
"Johnathan Hankins","LV","DT","111","W (Wed)","Bye","69.12","4.32","null","25%"
"Kendall Fuller","WAS","CB","112","W (Wed)","Bye","69","6.27","null","25%"
"Nickell Robey-Coleman","PHI","CB","113","W (Wed)","Bye","69","4.31","null","25%"
"Casey Hayward Jr.","LAC","CB","114","W (Wed)","Bye","69","4.31","null","0%"
"Lonnie Johnson Jr.","HOU","CB","115","W (Wed)","Bye","68.75","4.91","null","25%"
"Rasul Douglas","PHI","CB","116","W (Wed)","Bye","68.75","4.3","null","0%"
"Lamarcus Joyner","LV","S","117","W (Wed)","Bye","68.75","4.91","null","0%"
"Allen Hurns","MIA","WR","118","FA","Bye","68.6","4.9","null","18%"
"Kamalei Correa","TEN","LB","119","W (Wed)","Bye","68.25","4.27","null","25%"
"B.W. Webb","(N/A)","CB","120","W (Wed)","Bye","68.25","4.55","","0%"
"Jordan Phillips","ARI","DT","121","W (Wed)","Bye","68.12","4.26","null","75%"
"Aldrick Rosas","NYG","K","122","FA","Bye","68","4.25","null","17%"
"Albert Wilson","MIA","WR","123","FA","Bye","67.9","5.22","null","18%"
"Samuel Eguavoen","MIA","LB","124","W (Wed)","Bye","67.88","4.24","null","0%"
"J.D. McKissic","WAS","RB","125","FA","Bye","67.65","4.23","null","12%"
